Order ID,Symbol,Type,Trade Type,Entry Price,Exit Price,Quantity,PnL,Return %,Max Profit,Min Profit,Avg Profit,Avg Loss,Capital Used,Entry Time,Exit Time,Exit Reason
1,NSE:NIFTY2611325700PE,LONG,REAL,107.75,102.50,1840,-300.00,-4.87%,+0.00,-9660.00,-,-9660.00,198260,2026-01-14 08:03:42,2026-01-14 08:03:42,Hard stop loss hit
2,BSE:SENSEX2611483600PE,LONG,REAL,462.40,436.30,420,-300.00,-5.64%,+0.00,-10962.00,-,-10962.00,194208,2026-01-14 08:03:42,2026-01-14 08:03:42,Hard stop loss hit
3,NSE:NIFTY2611325700PE,LONG,REAL,102.50,104.55,1940,+3977.00,+2.00%,+7178.00,+0.00,+5577.50,-,198850,2026-01-14 08:03:42,2026-01-14 08:03:43,Drop in percentage: 1.61% drop from peak profit (3.61% → 2.00%)
4,BSE:SENSEX2611483600PE,LONG,REAL,436.30,447.65,455,+5164.25,+2.60%,+8736.00,+0.00,+6950.12,-,198516,2026-01-14 08:03:42,2026-01-14 08:03:43,Drop in percentage: 1.80% drop from peak profit (4.40% → 2.60%)
5,NSE:NIFTY2611325700PE,LONG,REAL,104.55,131.30,1900,+50825.00,+25.59%,+54055.00,+0.00,+40605.71,-,198645,2026-01-14 08:03:43,2026-01-14 08:03:43,Drop in percentage: 1.63% drop from peak profit (27.21% → 25.59%)
6,BSE:SENSEX2611483600PE,LONG,REAL,447.65,544.60,420,+40719.00,+21.66%,+43365.00,+0.00,+30084.25,-,188013,2026-01-14 08:03:43,2026-01-14 08:03:44,Drop in percentage: 1.41% drop from peak profit (23.06% → 21.66%)
7,NSE:BANKNIFTY26JAN59600PE,LONG,REAL,660.35,678.50,300,+5445.00,+2.75%,+10185.00,+0.00,+7011.67,-,198105,2026-01-14 08:03:43,2026-01-14 08:03:44,Drop in percentage: 2.39% drop from peak profit (5.14% → 2.75%)
8,NSE:NIFTY2611325700PE,LONG,REAL,131.30,137.35,1520,+9196.00,+4.61%,+14820.00,+0.00,+12464.00,-,199576,2026-01-14 08:03:43,2026-01-14 08:03:44,Drop in percentage: 2.82% drop from peak profit (7.43% → 4.61%)
9,NSE:BANKNIFTY26JAN59600PE,LONG,REAL,678.50,675.70,270,-300.00,-0.41%,+0.00,-756.00,-,-756.00,183195,2026-01-14 08:03:44,2026-01-14 08:03:44,Hard stop loss hit
10,NSE:NIFTY2611325700PE,LONG,REAL,137.35,143.95,1440,+9504.00,+4.81%,+13392.00,+0.00,+11448.00,-,197784,2026-01-14 08:03:44,2026-01-14 08:03:44,Drop in percentage: 1.97% drop from peak profit (6.77% → 4.81%)
11,BSE:SENSEX2611483600PE,LONG,REAL,544.60,555.90,350,+3955.00,+2.07%,+7000.00,+0.00,+5477.50,-,190610,2026-01-14 08:03:44,2026-01-14 08:03:44,Drop in percentage: 1.60% drop from peak profit (3.67% → 2.07%)
12,NSE:FINNIFTY26JAN27600PE,LONG,REAL,325.80,345.00,600,+11520.00,+5.89%,+14520.00,+0.00,+13520.00,-,195480,2026-01-14 08:03:44,2026-01-14 08:03:45,Drop in percentage: 1.53% drop from peak profit (7.43% → 5.89%)
13,NSE:NIFTY2611325700PE,LONG,REAL,143.95,142.40,1380,-300.00,-1.08%,+0.00,-2139.00,-,-2139.00,198650,2026-01-14 08:03:44,2026-01-14 08:03:44,Hard stop loss hit
14,BSE:SENSEX2611483600PE,LONG,REAL,555.90,554.45,350,-300.00,-0.26%,+0.00,-507.50,-,-507.50,194565,2026-01-14 08:03:44,2026-01-14 08:03:44,Hard stop loss hit
15,NSE:NIFTY2611325700PE,LONG,REAL,142.40,163.25,1400,+29190.00,+14.64%,+34300.00,+0.00,+31167.50,-,199360,2026-01-14 08:03:44,2026-01-14 08:03:45,Drop in percentage: 2.56% drop from peak profit (17.21% → 14.64%)
16,BSE:SENSEX2611483600PE,LONG,REAL,554.45,610.60,350,+19652.50,+10.13%,+23065.00,+0.00,+21538.12,-,194057,2026-01-14 08:03:44,2026-01-14 08:03:45,Drop in percentage: 1.76% drop from peak profit (11.89% → 10.13%)
